token_id,timestamp,open,high,low,close,volume
bitcoin,2024-04-29 00:00:00,63030.433616681854,63030.433616681854,63030.433616681854,63030.433616681854,16180294651.046635
bitcoin,2024-04-30 00:00:00,63797.67963589958,63797.67963589958,63797.67963589958,63797.67963589958,27242983698.21234
bitcoin,2024-05-01 00:00:00,60749.47209216387,60749.47209216387,60749.47209216387,60749.47209216387,39533113322.04938
bitcoin,2024-05-02 00:00:00,58297.574075325494,58297.574075325494,58297.574075325494,58297.574075325494,51109380171.692604
bitcoin,2024-05-03 00:00:00,59135.1733607733,59135.1733607733,59135.1733607733,59135.1733607733,28255509745.49032
bitcoin,2024-05-04 00:00:00,62839.34073569376,62839.34073569376,62839.34073569376,62839.34073569376,33591665812.212433
bitcoin,2024-05-05 00:00:00,63820.451902924986,63820.451902924986,63820.451902924986,63820.451902924986,20510614461.479218
bitcoin,2024-05-06 00:00:00,64010.00865210892,64010.00865210892,64010.00865210892,64010.00865210892,18115695040.201984
bitcoin,2024-05-07 00:00:00,63172.48129551341,63172.48129551341,63172.48129551341,63172.48129551341,17917770174.27797
bitcoin,2024-05-08 00:00:00,62363.057191718624,62363.057191718624,62363.057191718624,62363.057191718624,19925137720.849453
bitcoin,2024-05-09 00:00:00,61215.50400879193,61215.50400879193,61215.50400879193,61215.50400879193,20303831135.373127
bitcoin,2024-05-10 00:00:00,63148.599943097026,63148.599943097026,63148.599943097026,63148.599943097026,25837724247.550426
bitcoin,2024-05-11 00:00:00,60888.21674957157,60888.21674957157,60888.21674957157,60888.21674957157,23987518755.480534
bitcoin,2024-05-12 00:00:00,60776.972079172134,60776.972079172134,60776.972079172134,60776.972079172134,12120618802.065384
bitcoin,2024-05-13 00:00:00,61507.054004121346,61507.054004121346,61507.054004121346,61507.054004121346,13045696108.912676
bitcoin,2024-05-14 00:00:00,62878.783300729294,62878.783300729294,62878.783300729294,62878.783300729294,27740460083.601814
bitcoin,2024-05-15 00:00:00,61569.1130057734,61569.1130057734,61569.1130057734,61569.1130057734,21581895152.31416
bitcoin,2024-05-16 00:00:00,66220.51831432826,66220.51831432826,66220.51831432826,66220.51831432826,38101793065.15294
bitcoin,2024-05-17 00:00:00,65260.879803346186,65260.879803346186,65260.879803346186,65260.879803346186,29114585833.349678
bitcoin,2024-05-18 00:00:00,67053.12326509564,67053.12326509564,67053.12326509564,67053.12326509564,25397793918.993534
bitcoin,2024-05-19 00:00:00,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,13025487675.845129
bitcoin,2024-05-20 00:00:00,66252.71259591613,66252.71259591613,66252.71259591613,66252.71259591613,9072734600.009218
bitcoin,2024-05-21 00:00:00,71430.29700215145,71430.29700215145,71430.29700215145,71430.29700215145,35923476641.4359
bitcoin,2024-05-22 00:00:00,70189.8358177002,70189.8358177002,70189.8358177002,70189.8358177002,41105056578.01701
bitcoin,2024-05-23 00:00:00,69181.20085677762,69181.20085677762,69181.20085677762,69181.20085677762,31059440495.91766
bitcoin,2024-05-24 00:00:00,67906.46534276106,67906.46534276106,67906.46534276106,67906.46534276106,39235702119.25446
bitcoin,2024-05-25 00:00:00,68539.91646552991,68539.91646552991,68539.91646552991,68539.91646552991,28127411967.182774
bitcoin,2024-05-26 00:00:00,69268.44558973772,69268.44558973772,69268.44558973772,69268.44558973772,15929396750.116022
bitcoin,2024-05-27 00:00:00,68508.83110875699,68508.83110875699,68508.83110875699,68508.83110875699,11243743771.147913
bitcoin,2024-05-28 00:00:00,69367.23871755725,69367.23871755725,69367.23871755725,69367.23871755725,18983806932.464344
bitcoin,2024-05-29 00:00:00,68316.63588049631,68316.63588049631,68316.63588049631,68316.63588049631,31278122196.184998
bitcoin,2024-05-30 00:00:00,67577.26558995963,67577.26558995963,67577.26558995963,67577.26558995963,24320692137.62038
bitcoin,2024-05-31 00:00:00,68372.49288434093,68372.49288434093,68372.49288434093,68372.49288434093,25344376897.716885
bitcoin,2024-06-01 00:00:00,67474.95483698409,67474.95483698409,67474.95483698409,67474.95483698409,19685305476.459476
bitcoin,2024-06-02 00:00:00,67704.32641811523,67704.32641811523,67704.32641811523,67704.32641811523,10724053324.55672
bitcoin,2024-06-03 00:00:00,67740.01690222476,67740.01690222476,67740.01690222476,67740.01690222476,16137350587.750422
bitcoin,2024-06-04 00:00:00,68808.29368590549,68808.29368590549,68808.29368590549,68808.29368590549,29862293749.910686
bitcoin,2024-06-05 00:00:00,70600.01116676089,70600.01116676089,70600.01116676089,70600.01116676089,31561053725.144592
bitcoin,2024-06-06 00:00:00,71184.59943059199,71184.59943059199,71184.59943059199,71184.59943059199,32560403314.989147
bitcoin,2024-06-07 00:00:00,70759.58819301432,70759.58819301432,70759.58819301432,70759.58819301432,23612879689.560955
bitcoin,2024-06-08 00:00:00,69325.36238847222,69325.36238847222,69325.36238847222,69325.36238847222,18597495569.911568
bitcoin,2024-06-09 00:00:00,69315.1041233966,69315.1041233966,69315.1041233966,69315.1041233966,10688301508.476225
bitcoin,2024-06-10 00:00:00,69654.16073760358,69654.16073760358,69654.16073760358,69654.16073760358,10461044041.080194
bitcoin,2024-06-11 00:00:00,69493.17760915738,69493.17760915738,69493.17760915738,69493.17760915738,19335866773.67523
