token_id,date,predicted_price,actual_price,absolute_error,percentage_error
avalanche-2,2025-04-25 00:00:00,20.926280764842108,22.358569227038373,1.432288462196265,6.405993369487116
avalanche-2,2025-04-26 00:00:00,20.881551152239435,22.21224698349822,1.330695831258783,5.990820434543949
avalanche-2,2025-04-27 00:00:00,20.78272017085915,22.42266153714482,1.6399413662856688,7.313767652287767
avalanche-2,2025-04-28 00:00:00,20.926762958833127,21.76131374420904,0.8345507853759138,3.835020234465386
avalanche-2,2025-04-28 05:37:28,20.379213464547068,21.866309402625475,1.487095938078408,6.800854733628955
binance-bridged-usdt-bnb-smart-chain,2025-04-25 00:00:00,0.9994595026760634,1.0012593876060476,0.0017998849299841746,0.17976210283407118
binance-bridged-usdt-bnb-smart-chain,2025-04-26 00:00:00,0.9995605310600595,1.0004609933158972,0.0009004622558377307,0.09000473400299858
binance-bridged-usdt-bnb-smart-chain,2025-04-27 00:00:00,0.9994411637783448,0.9998326495084965,0.0003914857301516861,0.03915512564469013
binance-bridged-usdt-bnb-smart-chain,2025-04-28 00:00:00,0.9993453033106448,1.000251195536903,0.0009058922262581426,0.09056647273207093
binance-bridged-usdt-bnb-smart-chain,2025-04-28 05:40:23,0.9994095448332828,1.0000413288717256,0.0006317840384427731,0.06317579286003804
bitcoin,2025-04-25 00:00:00,95089.66671422159,93872.81422867288,1216.8524855487049,1.296277836716889
bitcoin,2025-04-26 00:00:00,95279.36242030335,94773.11200643536,506.2504138679942,0.5341709300773182
bitcoin,2025-04-27 00:00:00,96282.868279836,94644.06637120109,1638.8019086349086,1.731542157336526
bitcoin,2025-04-28 00:00:00,95928.28370844809,93809.33781968225,2118.94588876584,2.258779283613344
bitcoin,2025-04-28 05:33:58,95168.94643690129,94149.80866336076,1019.1377735405258,1.082463987988042
bitcoin-cash,2025-04-25 00:00:00,359.5066120850491,356.4521334222775,3.0544786627716007,0.8569113146962308
bitcoin-cash,2025-04-26 00:00:00,358.63682052494715,373.5968330433883,14.960012518441147,4.004319950084732
bitcoin-cash,2025-04-27 00:00:00,375.4446632145292,356.16371365317605,19.280949561353168,5.4135075590907915
bitcoin-cash,2025-04-28 00:00:00,358.13104710508543,345.96084860124944,12.17019850383599,3.517796465421214
bitcoin-cash,2025-04-28 05:39:07,348.91488052274417,351.4188325213083,2.503951998564105,0.712526412030658
bittensor,2025-04-25 00:00:00,318.07110188972325,359.1904675739043,41.11936568418105,11.447788679336442
bittensor,2025-04-26 00:00:00,344.4537936865736,355.01941431086055,10.565620624286964,2.9760684059479465
bittensor,2025-04-27 00:00:00,339.9653683704734,349.512423349601,9.547054979127608,2.7315352306026996
bittensor,2025-04-28 00:00:00,332.3384562518636,361.45688728582326,29.118431033959666,8.055851764953138
bittensor,2025-04-28 05:43:13,345.5127081330148,360.68105450708055,15.16834637406572,4.205473557460709
blackrock-usd-institutional-digital-liquidity-fund,2025-04-25 00:00:00,0.9513108059763908,1.0,0.04868919402360916,4.868919402360916
blackrock-usd-institutional-digital-liquidity-fund,2025-04-26 00:00:00,0.9513108059763908,1.0,0.04868919402360916,4.868919402360916
blackrock-usd-institutional-digital-liquidity-fund,2025-04-27 00:00:00,0.9513108059763908,1.0,0.04868919402360916,4.868919402360916
blackrock-usd-institutional-digital-liquidity-fund,2025-04-28 00:00:00,0.9513108059763908,1.0,0.04868919402360916,4.868919402360916
blackrock-usd-institutional-digital-liquidity-fund,2025-04-28 05:45:03,0.9513108059763908,1.0,0.04868919402360916,4.868919402360916
cardano,2025-04-25 00:00:00,0.6851145895798207,0.7220676397924738,0.03695305021265305,5.117671555433997
cardano,2025-04-26 00:00:00,0.7092351821217459,0.7138859038055668,0.004650721683820969,0.651465683665836
cardano,2025-04-27 00:00:00,0.7009217470256258,0.7075935331519487,0.0066717861263229095,0.9428839882981533
cardano,2025-04-28 00:00:00,0.693468993881763,0.704070171794187,0.010601177912423987,1.5056990534635109
cardano,2025-04-28 05:35:46,0.689649519171334,0.7113058630798799,0.021656343908545872,3.0445895405355117
chainlink,2025-04-25 00:00:00,14.501786960395318,15.050493317966003,0.5487063575706852,3.6457699158318353
chainlink,2025-04-26 00:00:00,14.551477958699508,14.944135270634376,0.39265731193486886,2.627501055256445
chainlink,2025-04-27 00:00:00,14.438332288189512,14.869258457484404,0.43092616929489225,2.898101277390781
chainlink,2025-04-28 00:00:00,14.333669185829208,14.585828467953519,0.2521592821243104,1.7287964319498805
chainlink,2025-04-28 05:37:25,14.047053332943321,14.79825211287909,0.7511987799357698,5.076266941566651
coinbase-wrapped-btc,2025-04-25 00:00:00,94420.97289714804,93922.16649546853,498.8064016795106,0.5310848549299345
coinbase-wrapped-btc,2025-04-26 00:00:00,94499.97086151705,94800.73626497328,300.76540345622925,0.31726061980739617
coinbase-wrapped-btc,2025-04-27 00:00:00,95562.54773991265,94678.14218456452,884.4055553481303,0.9341179864134637
coinbase-wrapped-btc,2025-04-28 00:00:00,94988.47902362251,93817.45176429198,1171.0272593305272,1.2481976831694697
coinbase-wrapped-btc,2025-04-28 05:41:54,94094.19267023746,94013.43351629045,80.75915394701588,0.08590171736789307
dai,2025-04-25 00:00:00,1.0000304699221032,1.0002926830288992,0.0002622131067959721,0.026213638392514022
dai,2025-04-26 00:00:00,1.000057320474773,0.9999744309786252,8.288949614776442e-05,0.008289161560525563
dai,2025-04-27 00:00:00,0.999978930489861,1.00000071452827,2.17840384091339e-05,0.0021784022843833743
dai,2025-04-28 00:00:00,0.9999847607925226,0.9999355754001791,4.918539234355368e-05,0.0049188561296931
