token_id,predicted_price,real_price,absolute_error,percentage_error
avalanche-2,20.482822550020188,21.866309402625475,1.3834868526052873,6.327024954833817
binance-bridged-usdt-bnb-smart-chain,0.9993799495413926,1.0000413288717256,0.0006613793303329452,0.06613519974010791
bitcoin,95537.859419586,94149.80866336076,1388.050756225246,1.4743001349990192
bitcoin-cash,353.7097427805641,351.4188325213083,2.2909102592558384,0.6519030988804303
bittensor,345.1521883701773,360.68105450708055,15.528866136903218,4.305428838818694
blackrock-usd-institutional-digital-liquidity-fund,0.9513108059763908,1.0,0.04868919402360916,4.868919402360916
cardano,0.6971583858865401,0.7113058630798799,0.014147477193339753,1.988944268234014
chainlink,14.271315536233473,14.79825211287909,0.5269365766456175,3.5608028071573297
coinbase-wrapped-btc,94318.82500964974,94013.43351629045,305.3914933592896,0.3248381448661504
dai,1.000041425180535,1.0002279979611588,0.0001865727806238393,0.018653025210666457
dogecoin,0.15896540719302824,0.1792332108437743,0.02026780365074607,11.308062582448612
ethena-usde,0.9995339167138937,0.9995184337717126,1.5482942181122006e-05,0.001549040183550859
ethereum,1701.832944285749,1795.8079300452482,93.9749857594993,5.233019867393695
ethereum-classic,15.554311534358321,16.65914082546246,1.1048292911041369,6.63197041599813
gatechain-token,22.52348774934163,22.46131536967551,0.062172379666119326,0.2767975901805679
hedera-hashgraph,0.18517582745844174,0.19214910213955919,0.006973274681117442,3.629095636394234
hyperliquid,18.138048524059233,17.889650463324976,0.24839806073425663,1.388501475998594
internet-computer,4.6150623938451085,5.0345013597305135,0.41943896588540497,8.33129114315815
monero,285.220296477734,309.1171868647807,23.89689038704671,7.730689655085434
near,2.1807318131607536,2.50351687598464,0.3227850628238862,12.893264907468776
official-trump,11.239763405718648,14.843130452146069,3.6033670464274206,24.27632808351714
okb,51.60477921849071,51.74582695335703,0.14104773486631927,0.2725779897062187
pepe,7.631175232114741e-06,8.890972000246858e-06,1.2597967681321163e-06,14.169393043832981
pi-network,0.48233531930726586,0.6206611134239696,0.1383257941167037,22.28684722224804
polkadot,3.9760082679856428,4.119088332481867,0.1430800644962238,3.4735857293454555
ripple,2.2335933702053006,2.280310632885965,0.04671726268066445,2.0487236259359545
shiba-inu,1.2885489491440092e-05,1.3623985374503055e-05,7.384958830629636e-07,5.420556927821135
solana,148.38104863661414,149.32260863044036,0.9415599938262176,0.6305542090792771
staked-ether,1696.9002376506417,1793.9894895810187,97.08925193037703,5.411918659180771
stellar,0.28603753948265614,0.2866628527004151,0.0006253132177589382,0.2181354200128745
sui,3.6088689663980884,3.5980691406669125,0.010799825731175883,0.30015614789364786
susds,1.0502959769061955,1.0491994869079857,0.0010964899982097709,0.10450729455092962
tether,0.9999355864084634,1.000243973076977,0.00030838666851362717,0.03083114488207911
the-open-network,2.9309335483649805,3.266700914610461,0.3357673662454803,10.278485083949567
tron,0.2426506223180724,0.24530399042637527,0.002653368108302856,1.0816652854651498
uniswap,5.156974650842919,5.452494827882144,0.29552017703922484,5.419907516978071
usd-coin,0.9999206549794901,0.9999109169810728,9.73799841730294e-06,0.0009738865984885801
usds,0.9994873609097855,0.9999509688951193,0.00046360798533373604,0.04636307176600796
weth,1659.6963613619516,1797.6540908161473,137.95772945419571,7.674320113029196
whitebit,28.658069755044792,29.161869297803815,0.5037995427590225,1.7275968752694593
wrapped-eeth,1792.0075054389463,1914.5922456223989,122.5847401834526,6.402655210984756
wrapped-steth,2161.783614774359,2156.1253796601613,5.658235114197851,0.26242607074592644
